author,date,source,summary,title,url
NICK FOX,23/09/2017,the-new-york-times,"From left: Eli Harold, Colin Kaepernick and Eric Reid of the San Francisco 49ers kneeling in protest during the national anthem last year.",Editorial Observer: The President Demands Silence From Colin Kaepernick,https://www.nytimes.com/2017/09/23/opinion/trump-curry-kaepernick-lebron.html
STEPHEN CASTLE,23/09/2017,the-new-york-times,"Labour Party leader Jeremy Corbyn during a campaign rally in May. Mr. Corbyn has increased the left’s grip on the party, but the direction from here remains unclear.",Jeremy Corbyn’s Rise From Hapless Loser to Potential Leader,https://www.nytimes.com/2017/09/23/world/europe/jeremy-corbyn-labour-conference.html
Reuters,23/09/2017,the-new-york-times,"On Japan's newest exchange, fame can pay off. That may not be so great for investors though.",A Celebrity Listing Crashes Japanese Exchange's Party,https://www.nytimes.com/reuters/2017/09/23/business/23reuters-japan-exchange-people.html
ELLEN BARRY,23/09/2017,the-new-york-times,"A group of men sprayed a caustic substance in the faces of at least six others, the latest in a series of similar crimes in London.",Six Burned in Acid Attack as Groups Clash in East London,https://www.nytimes.com/2017/09/23/world/europe/britain-london-acid-attacks.html
JACEY FORTIN,23/09/2017,the-new-york-times,A student group that was organizing a series of speeches by right-wing activists canceled the event on Saturday. Mr. Yiannopoulos said he was “blindsided.”,Milo Yiannopoulos Still Plans to Speak at Berkeley After Event Is Canceled,https://www.nytimes.com/2017/09/23/us/milo-berkeley-free-speech.html
Michael Powell,23/09/2017,the-new-york-times,"New York Times As Trump Takes On Athletes, Watch Them Rise New York Times Stephen Curry at the Golden State Warriors' media day on Friday. Curry, whose team won the N.B.A. championship in June, explained why he he thought the team should skip the champions' c…","As Trump Takes On Athletes, Watch Them Rise - New York Times",https://www.nytimes.com/2017/09/23/sports/trump-steph-curry-lebron.html
BENJAMIN HOFFMAN,23/09/2017,the-new-york-times,"After the president took aim at N.F.L. players and the N.B.A. star Stephen Curry, athletes and celebrities reacted on Twitter with strong words.",Athletes and Celebrities Lash Out at Trump for Stephen Curry Criticism,https://www.nytimes.com/2017/09/23/sports/trump-nfl-nba.html
JAMIL SMITH,23/09/2017,the-new-york-times,The education secretary has rescinded Obama’s campus sexual assault guidance. A former college rape crisis counselor explains what she’s missing.,Opinion: DeVos Should Want to Educate Men About Rape,https://www.nytimes.com/2017/09/23/opinion/sunday/devos-college-sexual-assault.html
,23/09/2017,the-new-york-times,"A paratrooper from the 173rd Airborne Brigade after a July 1966 firefight, in Ken Burns and Lynn Novick’s “The Vietnam War.”","Letters: The Vietnam War, Revisited",https://www.nytimes.com/2017/09/23/opinion/sunday/vietnam-war-ken-burns.html
SCOTT WALLACE,23/09/2017,the-new-york-times,"Sydney Possuelo, surrounded by Matis indigenous scouts on expedition to track the Arrow People in the Javari Valley, Brazil, 2002",Opinion: The Last Stand of the Amazon’s Arrow People,https://www.nytimes.com/2017/09/23/opinion/sunday/brazil-amazon-uncontacted-tribes.html
FRANCIS X. CLINES,23/09/2017,the-new-york-times,Van Gogh’s masterpiece has an undisputed magnetism. But has all the photo-snapping eclipsed a deeper kind of looking?,Editorial Notebook: A Starry Night Crowded With Selfies,https://www.nytimes.com/2017/09/23/opinion/sunday/starry-night-van-gogh-selfies.html
JAY HANCOCK,23/09/2017,the-new-york-times,"The pharmaceutical industry seems an easy target for reform. But thanks to lobbying and campaign contributions, Congress just won’t act.",News Analysis: Everyone Wants to Reduce Drug Prices. So Why Can’t We Do It?,https://www.nytimes.com/2017/09/23/sunday-review/prescription-drugs-prices.html
Somini Sengupta and Megan Specia,23/09/2017,the-new-york-times,"New York Times How World Leaders Reacted to Trump at the UN New York Times President Trump, addressing the United Nations General Assembly on Tuesday, denounced “rogue nations” and vowed to “totally destroy” North Korea if forced to defend the United States o…",How World Leaders Reacted to Trump at the UN - New York Times,https://www.nytimes.com/2017/09/23/world/americas/world-leaders-trump-un.html
THE EDITORIAL BOARD,23/09/2017,the-new-york-times,His indifference to past American commitments undermines the country’s credibility in negotiations and weakens its ability to lead.,Editorial: Mr. Trump Squanders the World’s Trust,https://www.nytimes.com/2017/09/23/opinion/sunday/trump-trust-iran-korea.html
TAIMOOR SHAH and MUJIB MASHAL,23/09/2017,the-new-york-times,Officials in Oruzgan Province say pressure by the Taliban has closed the region’s health facilities and postponed a vital polio vaccination campaign.,"Afghan Province, Squeezed by Taliban, Loses Access to Medical Care",https://www.nytimes.com/2017/09/23/world/asia/afghanistan-taliban-oruzgan-hospitals.html
FRANK BRUNI,23/09/2017,the-new-york-times,"New arrivals to America win many of our top prizes, because they hatch many of our best ideas.",Op-Ed Columnist: Want Geniuses? Welcome Immigrants,https://www.nytimes.com/2017/09/23/opinion/sunday/macarthur-grants-immigrants.html
Maureen Dowd,23/09/2017,the-new-york-times,"Supported by SundayReview | Op-Ed Columnist Will Mark Zuckerberg ‘Like’ This Column? WASHINGTON — The idea of Mark Zuckerberg running for president was always sort of scary. But now it’s really scary, given what we’ve discovered about the power of his little …",DOWD: Zuckerberg Presidential Run Scary...,https://www.nytimes.com/2017/09/23/opinion/sunday/facebook-zuckerberg-dowd.html
David Zucchino,23/09/2017,the-new-york-times,"New York Times On Eve of Kurdish Independence Vote, a Warning from Turkey New York Times As tensions between Turkey and the Kurdish region of Iraq escalated on Saturday, Turkish tanks carried out military exercises near the Turkish-Iraqi border. Credit Sedat …","On Eve of Kurdish Independence Vote, a Warning from Turkey - New York Times",https://www.nytimes.com/2017/09/23/world/middleeast/turkey-kurds-independence-referendum.html
